paragraph,source
"to get an idea of people’s “random” behavior. For this particular survey, you are not concerned with any particular population, so you can choose any sample that is convenient. You should talk with at least 10 people among your friends and family, but try for more to make your results more interesting.",probe
"Samantha thinks that the equation (x — 4)? =25 is equivalent to the equation (x-—4)+(y-3)=5. Are the two equations equivalent? Explain how you know. If they are not equivalent, explain Samantha’s mistake.",probe
"rectangular numbers The terms of the sequence 0, 2, 6, 12, 20,.... These numbers are called rectangular because they count the number of dots in rectangular arrays with the dimensions n(n +1) where n=0,1,2,3,4,...",probe
"common denominator, which, in this case, is 6x. We must be careful to remember to distribute so that we multiply each term on both sides of the equation by 6x. Then we simplify and solve, as shown at right.",probe
"* 30. Conclude An architect drew a set of plans for a house. In the plans, the roof is supported by a triangular framework. When the house is built, two sides of the framework will be 19 feet long and the base will be 33 feet long. Classified by side length, what type of triangle will be formed?",probe
"a. Make a histogram of the data on your calculator and sketch it. Use a bin width of 5. b. Lateefa is modeling the data using a normal distribution, but her partner Farid thinks that it is not a good idea. What advice would you give them about using a normal distribution? c. Lateefa scored 86 on the test, and Farid scored 92. What percentile did each score in? What score is at the 25"" percentile? Find the five number summary (minimum, first quartile, median, third quartile, maximum) for this data. How does your answer compare to",probe
"Colleen and Jolleen both used their calculators to find sin 30° . Colleen got sin30°= -0.9880316241 , but Jolleen got sin 30°=0:5.",probe
"square 2. The product of a number and itself. The square of 4 is 16. square root One of two equal factors of a number. The symbol for the principal, or positive, square root of a number is √. A square root of 49 is 7 because 7 × 7 = 49.",probe
"In Chapter 2, you developed expertise in investigating functions and transforming parent graphs. In this section, you will investigate families of cyclic functions and their transformations. By the end of this section, you will be able to graph any sine or cosine equation and write the equation of any sine or cosine graph.",probe
David Longshot is known for his long golf drives. Today he hit the ball 250 yards and estimated that the ball reached a maximum height of 15 yards. Find a quadratic equation that would model the path of the golf ball.,probe
lurking variable A hidden variable that was not part of the statistical study under investigation. Sometimes a lurking variable explains the true cause of an association between two other variables that are linked.,probe
"When they arrived at school the next morning, they compared the equations they had put in their graphing calculators while they talked on the phone. One had y =sin2x—1, while the other had y=sin2(x-1). Which equation was correct? Did they both subtract 1 from x? Describe the rule for shifting a graph one unit to the right in a way that avoids this confusion.",probe
"Frank says that -4; = “+, while Fred does not think that the Ds eat two expressions are equivalent.",probe
"Farah and Thu were working on writing the equation of a sine function for the graph at right. They figured out that the amplitude is 3, the horizontal shift is 4 and the midline is y=-2. They can see that the period is z , but they disagree on the equation. Farah has written f(x) = 3sin 2(x—74)—2 and Thu has written f(x) = 3sin(2x—-4)-2.",probe
"With Scott’s plan, how much will his dad have to pay him for the 100"" piece of litter he finds? If Scott collects 150 pieces of litter, how much will he have earned in total? What if he picks up 200 pieces? Greg thinks Scott is crazy to propose an increase of just 2% per piece. After all 2% of 10 cents is just ae of acent! Instead, he plans to ask for a one-cent increase for every piece. If their father agrees to this, how much would Greg get paid for the 100"" piece he collects? If the boys each collect 150 pieces of litter, which payment scheme will earn them the most money?",probe
"Greg was working on his homework. He completed the square to change y = 2x? —6x+2 to graphing form and identify the vertex of the parabola. y = 2(x? —3x+2)+2-2 He did the work at right and Sens Bee te * dantifi Bort y=20-3) -%4 identified the vertex to be Ca) When he got back to class and checked his answers, he discovered that his vertex was wrong, but he cannot find his mistake. Examine Greg’s work and explain to him where the mistake occurred. Then show him how to correct the mistake and state the vertex.",probe
The term “curving” is often misused as it applies to test scores. Many believe it refers to adding points or otherwise adjusting test scores such that the highest paper is 100% or the average score is raised to some passing level. To curve is actually to model test scores with the normal distribution (normal “curve”) and then use percentiles to assign letter grades.,probe
"Identity Property of Addition The sum of any number and 0 is equal to the initial number. In symbolic form, a + 0 = a. The number 0 is referred to as the additive identity. The Identity Property of Addition is shown by this statement: 13 + 0 = 13",probe
Find an upper and lower bound on the middle 90% of the proportions and the margin of error. You have found the sample-to-sample variability. You are ready to make a prediction for the entire population. Report your prediction for the difference between the proportion of mosquito-fed tadpoles that survived and the proportion of non-mosquito tadpoles that survived.,probe
"Angela continued to think about Uncle Zachary’s savings. a. Angela wrote the equation for the sequence as t(n)=47+3n. But Uncle Zachary wrote t(n)=50+3(n—1). Which equation gives the correct sequence? What is the advantage of writing the equation like Angela did? What is the advantage of writing it like Uncle Zachary did? Determine the amount of money in Angela’s college fund at the time of her first birthday, after her Uncle had made exactly 12 deposits. How much was saved by Angela’s 5"" birthday? Can you think of ways you might be able to figure this out without having to add the money for every month? Be ready to share your ideas with the class.",probe
New Concepts Increasing Knowledge simplifying decimal numbers Perform these two subtractions with a calculator. Which calculator answer differs from the printed answers below? 425 4.25 - 125 - 1.25 300 3.00 3.” on a calculator. We remove the decimal point and write “3” only.,probe
"On their Team Test, Raymond, Sarah, Hannah, and Aidan were given y=4x* —24x+7 to change into graphing form. Raymond noticed that the leading coefficient was a 4 and not a 1. His team agreed on a way to start rewriting, but then they worked in pairs and got two different solutions, shown below.",probe
"b. What are the advantages of writing the equation like Katelyn did? What are the advantages of writing the equation like Janelle did? c. Rewrite the equation t(n)=18-3"" using Katelyn’s method.",probe
"b. Hugo says, “No, no, no. You can do it that way, but that’s too complicated. I think you just start with x = 3 +4i and work backward. So x —3=4i, then, hmmm... Whose method do you think Spud should use?",probe
"intersection A point of intersection is a point that the graphs of two or more equations have in common. Graphs may intersect in one, two, several, many or no points. The set of coordinates of a point of intersection are a solution to the equation for each graph.",probe
"The student holding the meter stick should hold the places where the string attaches. Otherwise, the string has a tendency to slide toward the center of the meter stick. Use as much of the string as you can so that your ; pendulum is as long as possible.",probe
"Hilda was working on her y = 3x* —24x+55 homework. She completed the y= 3(x2 —8x) +55 square to change y= 3x? —24x+55 5 to graphing form in order to pease Eee UE RY NS identify the vertex of the parabola. She did the work at right and identified the vertex to be (4,39). When she got back to class and checked her answers, she discovered that the vertex she found is incorrect, but she cannot find her mistake. Examine Hilda’s work and explain to her what she did wrong. Then show her how to complete the square correctly and identify the vertex.",probe
"Connect A metric ruler is divided into centimeters. There are 100 centimeters in a meter. Each centimeter is divided into 10 millimeters. So 1 centimeter equals 10 millimeters, and 2 centimeters equals 20 millimeters.",probe
"b. Be sure to test negative numbers. What happens for negative numbers? c. Mark wants to get his machines patented but has to prove that the set of machines will always do what he says it will, at least for positive numbers. Show Mark how to prove that his machines work for positive numbers by dropping in a variable (for example, n) and writing out each step the machines must take. Why do the negative numbers come out positive?",probe
a. Connect Form an equivalent division problem for 5 ÷ 1/3 by multiplying both the dividend and divisor by 3. Then find the quotient. b. Connect Form an equivalent division problem for 266 ÷ 14 that has a one-digit divisor. Then find the quotient.,probe
"George was solving the equation (2x -1)(x+ 3)=4 and he got the solutions x = : and x=-3. Jeffrey came along and said, “You made a big mistake! You set each factor equal to zero, but it’s not equal to zero, it’s equal to 4. So you have to set each factor equal to 4 and then solve.” Show George and Jeffrey how to solve this equation. To be sure that you are correct, check your solutions.",probe
"The distance around a shape is its perimeter. The perimeter of a square is the distance around it. The perimeter of a room is the distance around the room. Activity Perimeter Model Walk the perimeter of your classroom. Start at a point along a wall of the classroom, and, staying close to the walls, walk around the room until you return to your starting point. Count your steps as you travel around the room. How many of your steps is the perimeter of the room? Discuss a. Did everyone count the same number of steps? b. Does the perimeter depend upon who is measuring it? c. Which of these is the best real-world example of perimeter? 1. The tile or carpet that covers the floor. 2. The molding along the base of the wall.",probe
23. Estimate Jan estimated that 49% of $19.58 is $10. She rounded 49% to 50% and rounded $19.58 to $20. Then she mentally calculated 50% of $20. Use Jan's method to estimate 51% of $49.78. Explain how to perform the estimate.,probe
"a. Number Sense: 7 × 34 b. Number Sense: 4 × 56 c. Number Sense: 74 + 19 d. Calculation: 475 + 125 e. Money: $5.00 – $1.75 f. Fractional Parts: 1/2 of 32 g. Statistics: Find the average of the following: 20, 25, 30 h. Calculation: 7 × 5, + 1, ÷ 6, × 3, ÷ 2, + 1, ÷ 5",probe
"problem solving Michelle's grandfather taught her this math method for converting kilometers to miles: ""Divide the kilometers by 8, and then multiply by 5."" Michelle's grandmother told her to, “Just multiply the kilometers by 0.6.” Use both methods to convert 80 km to miles and compare the results. If one kilometer is closer to 0.62 miles, whose method produces the more accurate answer?",probe
Triangles I and II below are congruent. Refer to the triangles to answer problems 22 and 23. * 22. What is the area of each triangle? * 23. Conclude Name the transformations that would position triangle I on triangle II.,probe
"Hannah summarized with the work shown at right. Did they rewrite the equation correctly? If so, find the vertex and the line of symmetry of the parabola. If not, explain their mistakes and show them how to do it correctly.",probe
"spread (of a data distribution) A measure of the amount of variability, or how “spread out” a set of data is. Some ways to measure spread are the range, the mean absolute deviation, the standard deviation, and the interquartile range. For symmetric distributions with no outliers, the standard deviation or the interquartile range can represent the spread of the data well. However, in the presence of outliers or non-symmetrical data distributions, the interquartile range may be a better measure. Also see variability.",probe
"Consider this question: “Does a new type of motor oil improve gas mileage?” Assuming this new motor oil was already available to the public, you could survey some car owners who use the oil and some who do not and compare their mean gas mileages. a. What problems might arise from using",probe
"graph 1. Noun: A diagram, such as a bar graph, a circle graph (pie chart), or a line graph, that displays quantitative information. This line graph has a horizontal axis that shows the number of completed years of education and a vertical axis that shows the average yearly income. This circle graph shows data for a class's test grades.",probe
