paragraph,llama_label,llama_reasoning,qwen_label,qwen_reasoning,gpt_oss_label,gpt_oss_reasoning
"a. Name three data points given in the problem statement. Make a rough sketch that will show the number of bacteria per cc over time. Find the equation of the parabola that contains the three data points. Based on the equation, how long will it take until the bacteria are eliminated? Based on the equation, how long had Sid been infected before he went to",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks students to perform tasks (identify data points, sketch, find equation, answer questions) without referencing any errors, student work, or warnings about common mistakes."
"a. x2-16 , x2~3x-18 b x2-1 is x3+x2-2x (x-4)* x2-2x-24 ” enx®lowe7 x-7",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph only lists algebraic expressions with no mention of a student's work, error detection prompt, or warning about common mistakes."
What expression would go in the box to make the equation o¢ + =2y+7x true?,ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks for an expression to complete an equation, with no reference to errors, student work, or comparisons."
"Marta was convinced that there had to be some way to graph y = log, x on her graphing calculator. She typed in y= log(2*) and pressed [GRAPH].",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph describes a student's attempt but does not ask the reader to identify or correct an error, compare approaches, or warn about common mistakes."
"“Whaaaat?” said Celeste. “I think y= log, x and y= log(2*) are totally different, and I bet we can show it by converting both of them to exponential form.”",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph only presents a student's claim without asking the reader to locate or correct an error, nor does it warn about a common mistake; thus it does not fit any error‑focused category."
"“Yeah, I think you’re wrong, Marta,” said Sophia. “J think we can show that y=log, x and y=log(2*) are totally different by looking at the graphs.” a. Show that the two equations are different by sketching the graph of y=log,x. Then sketch what your graphing calculator shows to be the graph of y= log(2*). Now show that y= log, x and y=log(2*) are different by converting both of them to exponential form.",ERROR,max retries exceeded,NA,"The paragraph presents a task where students are asked to demonstrate that two logarithmic equations are different by graphing and converting to exponential form. There is no mention of a specific student's incorrect work, conflicting answers, explicit error detection, or common mistakes. The focus is on a standard problem-solving activity.",COMPARE_AND_CONTRAST,Named characters Sophia and Marta disagree about the equations; the task asks the reader to evaluate whose claim is correct by comparing the two approaches.
"a. What makes the equation 1.04* = 2 so hard to solve? In the first part of this lesson, you already found a method for getting rid of inconvenient exponents! Talk with your team about how your results from problems 6-90 and 6-91 can help you rewrite the equation 1.04* = 2. Be prepared to share your ideas with the class. c. Solve 1.04* =2 using this new method. Be sure to check your answer.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks students to discuss and solve an equation using a method, without presenting a specific error or warning about common mistakes."
"Solve each of the following equations to the nearest 0.001. a. (5.825)% > =120 be Y 18d 22"" Y= 900",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph simply asks students to solve equations with no mention of errors, mistakes, or comparison of student work."
"Use the definition of a logarithm to change log, 7 into a logarithmic expression of base 5.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph gives a standard instruction to rewrite a logarithm using its definition, with no mention of errors, students, or warnings."
"Raymond, Hannah, Aidan, and Sarah were working together to change y= 3x? —15x—5 into graphing form. They started by rewriting it as y = 3(x* —-5x)—5, when Raymond said, “Will this one work? Look, the perfect square would have to be (x —2.5)? .” After thinking about it for a while, Sarah said, “That’s OK. Negative 2.5 squared is 6.25, but because of the 3 we factored",ERROR,max retries exceeded,COMPARE_AND_CONTRAST,"The paragraph describes Raymond, Hannah, Aidan, and Sarah working on a problem with differing approaches. It highlights their discussions and methods, prompting the reader to evaluate their correctness. This fits the 'COMPARE_AND_CONTRAST' category as it involves named students with conflicting ideas.",ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions
Add or subtract and simplify each of the following expressions. Justify that each step of your process makes sense. 3 see) b oa Ae | as G4.,ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks students to add/subtract and simplify expressions and justify steps, with no error identification, warning, or student work involved."
"Brad’s mother says she was tested for HCG during her last two doctor visits. On March 21, her HCG level was 200 mIU/ml (milli-international units per milliliter). Two days later, her HCG level was 392 mIU/ml. Assuming that the model for HCG levels is of the form y= ab* , find an equation that models the growth of HCG for Brad’s mother’s pregnancy. Assuming that Brad’s mother’s level of HCG on the day of implantation was 5 mIU/ml, on what day did the baby most likely become implanted? How many days after implantation was his mother’s first doctor visit? c. Brad learned that a baby is born approximately 37 weeks after implantation. When can Brad expect his new sibling to be born?",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph presents a standard word problem about modeling HCG growth and timing, without any error-focused prompts or warnings."
"6-125. |The context in problem 6-123 required you to assume that the exponential model had an asymptote at y=0 to find the equation of the model. But what if the asymptote is not at the x-axis? Consider this situation below. a. Assume the graph of an exponential function passes through the points (3, 12.5) and (4, 11.25). Is the exponential function increasing or decreasing? If the horizontal asymptote for this function is the line y=10, make a sketch of its graph showing the horizontal asymptote. If this function has the equation y= ab* +c , what would be the value of c? Use what you know about this function to find its equation. Verify that as x increases, the values of y get closer to y=10. Find the y-intercept of the function. What is the connection between the y-intercept and the asymptote?",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks students to analyze an exponential function with a given asymptote and find its equation; it does not present a student error, warning, or compare approaches."
"c. Janice’s friend Sarah starts with $7800 and wants to have $18,400 twenty years from now. What interest rate does she need (compounded yearly)? Is Janice’s goal or Sarah’s goal more realistic? Justify your response.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks students to compute an interest rate and compare the realism of two goals, without presenting any error, mistake, or incorrect student work to detect or correct."
"Write three different, but equivalent, expressions for each of the following logs. For example: log(7*/*) can be written as 3log(7) , +1og(7?), 3log(V7) , etc. a. Mog(8?/3) b. —2log(5) c. log(na)”?",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks students to rewrite logarithmic expressions; it contains no error-focused prompts, warnings, or named student work."
"| Add or subtract each expression below. 2, 2 is Pp} a 10a+25 a, 525.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph simply gives an instruction to add or subtract expressions and contains no error-focused prompts, student work, or warnings about common mistakes."
"Some time later, Agent 008 sighed deeply as he returned to the coroner’s office. Foust gave his usual greeting: “Would the secret guest please sign in?” he would say, handing a pen to 008 as he walked through the door. “Sign in again,” he thought to himself. Agent 008 had not planned to be gone so long, but he had been caught up in what the staff at headquarters had discovered about that calculator he had found. For a moment he saw a positive point to having anyone who came in or out of the courthouse sign in: He knew by quickly scanning the list that Dr. Dedman had not left.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph is a narrative story with no mention of errors, student work, or instructional warnings."
"As he approached the coroner’s office, he had a strange feeling that something was wrong. He could not hear or see Dr. Dedman. When he opened the door, the sight inside stopped him in his tracks. Evidently, Dr. Dedman was now the newest victim of the Slasher. The other body, the one the doctor had been working on, was gone! Immediately, the security desk with its annoying sign-in sheet came to mind. Yes, there were lots of names on that list, but if he could determine the time of Dr. Dedman’s death, he might be able to scan the roster to find the murderer! Quickly, he grabbed the thermometer to measure the Doctor’s body temperature. He turned around and hit the security buzzer. The bells were deafening. He knew the building would be sealed off instantly and security would be there within seconds.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph is a narrative description with no instructional content, error detection, or comparison of student work; it does not involve error-focused pedagogy."
"Kirsta was working with the function machine shown at right, but when she turned her back, her little brother Caleb dropped in a number. She didn’t see what he dropped, but she did see what fell out: What operations must she perform on 9 to undo what her machine did? Use this to find out what Caleb dropped in.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph presents a problem scenario without showing any student error, comparison, or warning about common mistakes; it is standard content."
"Making sense of problems and persevering in solving them means that you can solve problems that are full of different kinds of mathematics. These types of problems are not routine, simple, or typical. Instead, they combine lots of math ideas and everyday situations. You have to stick with challenging problems, try different strategies, use multiple representations, and use a different method to check your results.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph discusses problem‑solving attitudes and strategies, without mentioning any errors, mistakes, or student work to correct."
"To construct a viable argument is to present your solution steps in a logical sequence and to justify your steps with conclusions, relying on number sense, facts and definitions, and previously established results. You communicate clearly, consider the real-life context, and provide clarification when others ask. In this course, you regularly share information, opinions, and expertise with your study team. You critique the reasoning of others when you analyze the approach of others, build on each other’s ideas, compare the effectiveness of two strategies, and decide what makes sense and under what conditions.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph describes general practices for argument construction and collaboration, without asking the reader to find or correct errors, compare named students' work, or warn about common mistakes."
"Most of the problems in this section represent typical problems found in this chapter. They serve as a gauge for you. You can use them to determine which types of problems you can do well and which types of problems require further study and practice. Even if your teacher does not assign this section, it is a good idea to try these problems and find out for yourself what you know and what you still need to work on. Solve each problem as completely as you can. The table at the end of the closure section has answers to these problems. It also tells you where you can find additional help and practice with problems like these.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph describes self‑assessment and practice recommendations without presenting any error, mistake, or comparison of student work."
"CL 6-149. a. (4,0,-1) Lesson 6.1.4 Problems 6-48, 6-51, 6-71, 6-80 = LES6.04 : : ; Pea) and 6-103 €L 0-150. x° — 2x +3 Lesson 6.1.5 Problems 6-64, 6-67, 6-68, 6-69 DEs651.5 : : : bile) 6-72, 6-81, and 6-131 c.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph only lists lesson numbers and problem references without any mention of errors, corrections, or comparisons."
"y Lessons 5.2.2 Problems 5-68, : and 5.2.3 5-69, and 5-94 bE 5 10x",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,The text only lists lesson and problem numbers without any error-focused prompt or warning.
"CGE.6-1565 a. x= 283 Lessons 4.1.2 Problems 4-22, 4 and 4.1.3 4-23, 6-40, 6-53, a and 6-76 LL: 4.1.1 and 4.1.4 CLiG6-157 5 24, Lesson 4.2.1 Problems 5-13, MN: 4.2.3 and 2-67, 6°33, 0-58, 424 and 6-147",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,The paragraph is a list of lesson and problem references with no instructional or error-focused content.
"a. domain: x>-3, range: y>0 Lesson 5.1.3 Problems 6-87, é 6-132, and 6-141 b. f(e(x)= a7 MN: 5.1.3 c. domain: x=>7,range: y20 LL: 5.2.5",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph only lists domain/range specifications and lesson references without any request to find or correct errors, compare students, or warn about common mistakes."
"Section 7.1 In this section, you will use your understanding of the trigonometric ratios in right triangles to build an understanding of three new functions. You will recognize and create multiple representations of the functions y=sin@ and y=cos@. You will discover relationships between a unit circle and a graph of a cyclic function. You will also learn to use a new unit, radians, to measure lengths of arcs and angles. In this section, you will apply your expertise with transforming parent graphs to graph functions of the family whose parents are y=sinx and y=cosx. You will develop general equations for cyclic or trigonometric functions. You will also learn about a property particular to cyclic functions called a period.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph only outlines instructional goals and content without mentioning errors, mistakes, or comparing student work."
Nurse Nina rushes through the hospital with one hand on her clipboard and the other pulling a portable blood stand. The bags of blood swinging from the stand are needed in the emergency room ‘stat’ for three patients in severe need.,ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,The paragraph is a narrative description of a nurse's actions and does not involve any error-focused pedagogy such as identifying or correcting mistakes.
7-9. Consider the function y= x7+5x+7. a. Complete the square to find the vertex.,ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph asks the student to perform a standard task (complete the square) with no mention of errors, mistakes, or named students."
"notch to turn Problem continued from previous page. Your Task: Find a function that describes the distance each passenger must climb in order to escape from the broken ride, The Screamer. = re To help you gather data, your teacher will provide you with materials to build a model of this situation. Layer your transparency circle on top of your cardboard circle and insert a toothpick to act as an axle. Then slide the circles into the slit in your cardboard box, as shown",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph describes a task and model-building instructions without any mention of errors, mistakes, or comparing student work."
"The function that models the situation in problem 7-12 is a new parent function. To help you figure out what it is, sketch the right triangle shown in the diagram at right. Za) = a. With your team, write an equation and use it to calculate the height of the triangle. Does the calculated escape height seem reasonable when compared to the data you collected in problem 7-12? Write an equation representing the escape height h(@) for any passenger, that is, for any angle of rotation of The Screamer. Note that the symbol @ is the angle represented by the Greek letter “theta.” c. Enter the data from the first two columns of your table into your graphing calculator. Adjust the viewing window so you can see all of the data. Then graph (6) on top of the data. How well does A(@) fit your data? Adjust the viewing window so that you can see more of the graph of h(@). Describe the behavior of the graph as @ gets larger. Does this make sense? e. Use the ‘table’ function of your calculator to find the values that it calculated for h(@). Add another column to your table from problem 7-12, label it with the equation you found for (6) , and enter these values, rounding off to the nearest hundredth. How do the calculated values compare with your measured ones?",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph gives a series of standard tasks (sketch, write equation, compare data) without asking to find or correct errors, nor warning about common mistakes."
"René and Antonio finally make it home from the y amusement park unhurt, but in need of a shower. As soon as they have cleaned up, they go over to a friend’s house to share their scary experience on The Screamer.",ERROR,max retries exceeded,ERROR,400 Client Error: Bad Request for url: https://api.groq.com/openai/v1/chat/completions,NA,"The paragraph is a narrative about characters' actions and contains no math content, error identification, or comparison of solutions."
Evaluate each expression without using a calculator or changing the form of the expression.,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,The instruction simply asks students to evaluate expressions and does not involve error-focused pedagogy.
"In 1998, Terre Haute, Indiana had a population of 72,000 people. In 2000, the population had dropped to 70,379. City officials expect the population to level off eventually at 60,000. What kind of function would best model the population over time? Write an equation that would model the changing population over time.",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks for a model and equation without referencing any error, mistake, or student work."
What is the domain of the entire graph of h(@)=sin@? Justify your reasoning.,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks a standard domain question and does not involve error detection, correction, comparison, or warnings about common mistakes."
Antonio’s friend Jessica was also on The Screamer when it broke. Her seat was 65 feet above the ground. What was her seat’s angle of rotation? Is there more than one possibility?,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph poses a standard geometry problem without showing any student work, error detection, or warning about common mistakes."
"Hilda was working on her y = 3x* —24x+55 homework. She completed the y= 3(x2 —8x) +55 square to change y= 3x? —24x+55 5 to graphing form in order to pease Eee UE RY NS identify the vertex of the parabola. She did the work at right and identified the vertex to be (4,39). When she got back to class and checked her answers, she discovered that the vertex she found is incorrect, but she cannot find her mistake. Examine Hilda’s work and explain to her what she did wrong. Then show her how to complete the square correctly and identify the vertex.",ERROR,max retries exceeded,ERROR,max retries exceeded,INCORRECT_TO_CORRECT,"The paragraph presents Hilda's specific incorrect work and asks the reader to find and fix her mistake, which fits the INCORRECT_TO_CORRECT category."
"Mr. Keis wrote the following problem on the board and told his class, “No calculators please. You have sixty seconds!”",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph only describes a teacher instruction about a problem and time limit, with no mention of errors, student work, or error warnings."
Use your knowledge of shifting parent graphs to graph each equation below.,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The sentence is a standard instructional prompt to apply a concept, with no mention of errors, mistakes, or student work."
"A function W(x) is sketched at right. a. Make your own copy of the graph, and then sketch the graph of the inverse of W(x). Is the inverse a function?",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks students to copy a graph and sketch its inverse, with a question about whether the inverse is a function; it contains no error-focused prompts, warnings, or student work to correct."
"circle and its graph, as you build a deeper understanding of the sine function.",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,The text is a generic statement about circles and sine function with no error-focused instruction.
"to solve problems, investigate functions, and justify conclusions. In Lesson 7.1.2 you found that a unit Equation circle is one representation of a sine function. Today you will investigate the connections between the unit Unit Circle",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph is a standard instructional statement about investigating connections; it does not present errors, student work, or warnings about common mistakes."
"In problem 7-33, you used a unit circle to find the height of a seat on The Screamer. Could you use your graph of y= sin@ instead to find the height? a. Use the Lesson 7.1.3 Resource Page (also called a sine calculator) provided by your teacher to find the height of a seat that has rotated 130° from the starting platform. Are there any other seats at exactly the same height? If so, indicate them on your resource page. Howcan you use the symmetry of the graph to calculate which angles correspond to seats with the same height? Discuss this with your team and be prepared to share your strategies with the class. For each of the following angles, use the sine calculator from the resource page to find the height at that angle and to find another angle with the same height. Then sketch a small unit circle, draw in each pair of angles, and label the heights.",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks students to use symmetry and a calculator to find matching heights, without presenting a specific error, correction, or comparison of student work."
The passenger reaches the bottom of the water pit. The passenger is halfway between the highest point of The Screamer and the ground level.,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph describes a scenario without showing any student work, error, or comparison; it does not involve error-focused pedagogy."
"While trying to measure the height of a tree, Julie noticed that a 3.5-foot post had a 4.25-foot shadow. If the tree’s shadow is 100 feet long, how tall is the",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph presents a straightforward word problem with no mention of errors, corrections, or comparisons."
"Given that log 2 ~ 0.3010 , log 3 = 0.4771 and log 5 = 0.6990 , calculate each of the following logarithms without using a calculator. a..~) log 6 b. log 15 c. log9 d. log50",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph simply asks students to compute logarithms using given values; it contains no error-focused prompts, warnings, or student work to correct."
Find the x- and y-intercepts of the quadratic function y= 3x?,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,The paragraph asks for a standard calculation of intercepts without any error-focused prompt or warning.
Maria Elena is collecting college pennants. She has five fewer pennants from Washington campuses than from California campuses and twice as many pennants from California campuses as from Pennsylvania campuses. She has 40 pennants in her collection. Write a system of equations to find the number of Pennants from each state.,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph presents a word problem and asks to write a system of equations; it does not involve error detection, correction, comparison, or warnings about common mistakes."
Work with your team to find the coordinates of point P on the unit circle shown at right. Is there more than one way to find point P? Be prepared to share your strategies with the class.,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks students to find coordinates and consider multiple methods, without referencing errors, mistakes, or named students' work."
"a. Find the exact coordinates of point Q by using the Pythagorean Theorem. What is the value of sin 6? c. Using what you determined in problems 7-47 and 7-48, how could you rewrite the Pythagorean Theorem using trigonometric functions for the lengths of the sides? When written like this, the Pythagorean Theorem is called the Pythagorean Identity.",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks students to solve problems and rewrite a theorem, with no mention of errors, mistakes, or student work to correct."
"b. Draw five new triangles that are congruent to the first five, but that are located in the second quadrant. Label the angle measure (from 0°) and the base for each triangle. Add five new corresponding points to the graph. c. Continue this process by drawing triangles in the third and fourth quadrants. You should have a total of twenty triangles drawn and twenty points plotted. Then find the four points where the circle crosses the axes and label them with both their angle measures and their horizontal distances from the origin. Add points for these to the graph on the right as well. Finally, sketch a smooth curve through the points. Compare this graph to the sine graph you got from graphing heights in problem 7-14. How are the two graphs similar? How are they different?",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks students to compare two graphs they produced, without involving student errors, error detection, or named conflicting approaches."
"a. Use the Lesson 7.1.4B Resource Page (a cosine-calculator graph) provided by your teacher to find the length of the base of a triangle formed by a seat on The Screamer that had rotated 130° from the starting platform. Are there any other triangles with the same base? If so, mark their corresponding points on your cosine calculator. How can you use the symmetry of the cosine-calculator graph to calculate the angle location of seats on The Screamer that have the same base? Is your method different than the one you used to find the heights?",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks students to apply a cosine graph to find lengths and consider symmetry, without presenting or asking about errors."
"The measure of ZROS in AROS below is 60°. The curved arrow represents the rotation of OR , beginning from the positive x-axis. Through how many degrees has OR rotated? If OR=1, what are the exact lengths of OS and SR? What are the exact coordinates of point R?",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph poses a standard geometry problem without referencing any errors, student work, or warnings about common mistakes."
Sketch a graph of each equation below. a. y=-2(x-2)74+3 bso ye (aD? 43,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph simply asks students to sketch graphs of given equations, with no mention of errors, mistakes, or comparison of student work."
"Rip-Off Rentals charges $25 per day plus 50¢ per mile to rent a mid-sized car. Your teacher will rent you his or her family sedan and charge you only 3¢ if you drive one mile, 6¢ if you drive two miles, 12¢ if you drive three, 24¢ for four, and so on. a. Write an equation that will give you the cost to rent each car. If you plan to rent the car for a two-day road trip, which is the better deal if you drive 10 miles? 20 miles? 100 miles?",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph presents a standard word problem asking students to write equations and compare costs, without any error-focused prompts or warnings."
Shinna was riding The Screamer when it broke down. Her seat was 53 horizontal feet from the central support pole. What was her seat’s angle of rotation?,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph presents a straightforward word problem without showing any student work, error detection, comparison, or warning about common mistakes."
A negative cosine and a negative sine. d. Acosine of about -0.9 and a sine of about 0.4. e. Could an angle have a sine equal to 0.9 and cosine equal to 0.8? Give an angle or explain why not.,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks conceptual questions about sine and cosine values without presenting a student's error, warning about common mistakes, or asking to locate an error; it is standard content."
"Daniel sketched the graphs at right for y =sin@ and y=cos@. Unfortunately, he forgot to label the graphs, and now he cannot remember which graph goes with which equation. Explain to Daniel how he can",ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph asks the student to explain how Daniel can identify which graph matches which function, without presenting a specific error or warning about common mistakes."
tell (and remember!) which graph is y=sin@ and re ee eat which is y=cos@. aN,ERROR,max retries exceeded,ERROR,max retries exceeded,NA,"The paragraph simply asks the reader to identify which graph corresponds to y=sin and y=cos, without referencing errors, student work, or common mistakes."
