paragraph,qwen_label,qwen_reasoning,gpt_oss_label,gpt_oss_reasoning
"When a graph crosses the x-axis, the x-intercepts are often referred to as the real roots of the equation that results when y=0. You have seen that solutions to equations can be real or complex, so it follows that roots can also be real or complex. Compare and contrast what happens with the graphs and equations for the three cases in parts (a) through (c) below. Sketch the graph of y=(x+3)*—4. Sketch the graph of y=(x+3)*. c. Sketch the graph of y=(x+3)? Can you find the roots by looking at the graph? Find the roots by solving (x + 3)?+4=0. Make general statements about the relationship between graphs of parabolas and the kinds of roots their equations have.",COMPARE_AND_CONTRAST,"The paragraph instructs the reader to compare and contrast different cases involving graphs and equations, specifically parts (a) through (c). This aligns with the COMPARE_AND_CONTRAST category as it involves examining different approaches or results.",NA,"The paragraph asks students to compare and contrast graph cases, but does not involve named students or error-focused tasks; it is standard instructional content."
"For example, the conjugate for the complex number —5 + 3i , is —-5 — 37. (-5 + 3i) + (-5 — 3i)=-10 and (—5 + 3i)(-5 — 31) = 25-97?",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph presents an example of a conjugate calculation but does not ask the reader to locate or fix an error, nor does it warn about common mistakes; thus it is standard content."
"Raul claims that he has a shortcut for deciding what kind of roots a function has. Jolene thinks that a shortcut is not possible. She says you just have to solve the quadratic equation to find out. They are working on y= Jolene says, “See, I just start out by trying to factor. This one can be factored (x-— 7)(x+2)=0, so the equation will have two real solutions and the function will have two real roots.” “But what if it can’t be factored?” “What about x? +2x+2=0?” I just use the Quadratic Formula,” says Jolene. let’s see... negative two plus or minus the square root of... two squared... that’s 4...minus... eight...” “Right there, see, you don’t have to finish. 27 minus 4-2, that gives you —4. That’s all you need to know. You’ll be taking the square root of a negative number so you will get a complex result.” “Oh, I see,” said Jolene. “TI only have to consider part of the solution, the inside of the square root.” Use Raul’s method to tell whether each of the following functions has real or complex roots without completely solving the equation. Note: Raul’s method is also summarized in the Math Notes box for this lesson.",COMPARE_AND_CONTRAST,"The paragraph presents two students, Raul and Jolene, with differing approaches to determining the roots of a quadratic equation. Raul advocates for a shortcut (likely the discriminant method), while Jolene initially relies on factoring and the quadratic formula. The text asks readers to apply Raul’s method, contrasting their strategies. This fits the COMPARE_AND_CONTRAST category as it highlights differing methods and invites analysis of their validity.",NA,"The paragraph presents a dialogue about different methods but does not ask students to find or correct an error, warn about common mistakes, or explicitly compare approaches for correctness; it simply instructs using Raul's method, so it is standard content."
"_ 3x2 —4x+2 , remainder 8. 2x+5 2x+5 Gina thinks that there is a way to write the answer without using the word “remainder.” Discuss this with your team and find another way to write the result. Be prepared to share your results and your reasoning with the",COMPARE_AND_CONTRAST,"The paragraph presents Gina's alternative approach to writing the result without using the word 'remainder,' prompting discussion and comparison with other methods. This involves contrasting different student strategies.",NA,"The paragraph asks students to discuss an alternative way to express a result without using the word 'remainder'; it does not present an error, compare approaches, or warn about common mistakes."
"The examples below show two methods for dividing x* —6x3+18x—-1 by x-—2. In both cases, the remainder is written",COMPARE_AND_CONTRAST,"The paragraph introduces two different methods for dividing a polynomial and mentions that both result in the same remainder, prompting a comparison of approaches. This aligns with the COMPARE_AND_CONTRAST category as it presents multiple methods for examination.",NA,"The paragraph merely describes two methods for a division problem without naming students, asking to find errors, or warning about common mistakes."
"| Now Carlos needs to solve 2x? —8x+3=0, but his calculator will still only create a standard graph. He sees that the graph of y= 2x? + 3x? -8x+3 crosses the x-axis at x =1. Find all three solutions to the equation.",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph simply asks the reader to find solutions to an equation; it does not present an error, compare approaches, or warn about common mistakes."
"“Well, it’s a fraction. Can’t we multiply the numerator and denominator by the same number?” a. Natalio was not very clear in his explanation. Show Ricki what he meant they should do. Using Natalio’s ideas you probably still came up with a fraction in part (a), but the denominator should be a whole number. To write a complex number such as “ in the form a+ bi, just use the distributive property to rewrite the result as + £ i. Rewrite your result for part (a) in this form.",NA,"The paragraph discusses Natalio's unclear explanation and asks the reader to clarify his method, but there is no explicit error to detect or correct. The focus is on applying a mathematical process rather than identifying a mistake. It does not fit any error-focused category.",INCORRECT_TO_CORRECT,"The paragraph references a named student (Natalio) whose work/explanation is unclear and asks the reader to show what should be done, i.e., to correct his work."
"For homework, Londa was asked to simplify the expression Net e7 Sue got the answer 7, but when she checked, she learned that the correct answer was —7. a. Show Londa the steps she could take to get —7. b. What steps do you think Londa took to get 7 as a result? | What does she need to consider to avoid making this mistake in the future? Londa’s example means that it is not always true that Ja - Jb = Jab for real numbers a and b. What restriction needs to be placed on the numbers a and b?",INCORRECT_TO_CORRECT,"The paragraph presents Londa's incorrect answer and asks the reader to show the correct steps (part a) and identify her mistake (part b), which aligns with the INCORRECT_TO_CORRECT category. The focus is on correcting a named student's error and explaining the correct approach.",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}"
"Discuss each of the following survey questions with your team. For each one, e Look for ways in which the question may contain bias. Rewrite the question to reduce the bias you found. Be prepared to share your ideas with the class. Do teenagers worry about getting poor grades? Do you support the Governor’s education plan that ensures that students",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph asks students to examine survey questions for bias and rewrite them, which is about bias detection, not mathematical errors or error-focused pedagogy."
"9-3. Consider the following descriptions of common sources of bias in survey questions. Look back at the survey questions in problem 9-2 to see if you can find any of these types of bias in those questions. Note that some of these questions may refer to bias that you already identified, while some may help you see new sources of bias. Sometimes two questions are asked in an order such that the first question suggests an answer to the second. Which of the poll questions uses the biased question order technique? Why would you expect it to influence responses? Preface: Some questions start with statements that can bias the result of the question that follows. Which of the survey questions presented to your class uses this technique? Why would you expect such statements to influence responses? Two Questions in One: This technique involves asking two questions at once. Survey respondents may agree with one part and disagree with another part, but they are only allowed to give one answer. Which of the survey questions presented to your class uses this technique? Biased Wording: By using pleasing or unpleasant words, the surveyor can influence results. Which of the survey questions presented to your class uses this technique? e. Desire To Please: Research shows that many survey takers will answer in the ways that they perceive will please the surveyor. Which of the survey questions presented to your class are likely to be biased in this way? Are some more severely biased than others?",NA,"The paragraph asks students to identify sources of bias in survey questions but does not present a specific student's error to correct, compare conflicting student approaches, or explicitly warn about common mistakes. It is standard content about survey bias analysis, not error-focused pedagogy.",EXPLICIT_ERROR_DETECTION,"The paragraph asks students to examine given survey questions and identify specific bias errors, requiring them to locate mistakes, which matches EXPLICIT_ERROR_DETECTION."
"Consider each of the following survey questions. For each one, explain any bias you find. If you think the question is unbiased (or fair), explain why. Do you agree that it is important to make ending homelessness a high priority?",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph asks students to evaluate bias in survey questions, not to find or correct mathematical errors, compare student solutions, or warn about common mistakes."
"As you discovered in the asteroid activity in Lesson 9.1.2, people are not very good at picking representative samples. Similarly, it is actually quite difficult to “fake” randomness.",NA,"The paragraph discusses a general observation about human difficulty with randomness and sampling, referencing an activity. It does not present a specific error to correct, compare conflicting approaches, or explicitly warn about a common mistake. It is standard educational content.",COMMON_ERROR_ALERT,"The paragraph warns that people commonly struggle with selecting representative samples, which is a warning about a frequent mistake."
Suppose Stephanie wanted to determine whether students in her ceramics class have a significantly different opinion towards capital punishment legislation than those in her government class. She finds 55% of the ceramics students in favor of federal oversight of capital punishment and concludes that taking ceramics causes opposition to the death penalty. Why is her conclusion unreasonable? Design an experiment that would test her conclusion.,NA,"The paragraph asks students to evaluate the validity of a conclusion drawn from data and design an experiment, but does not present a specific error to correct, compare conflicting student answers, or highlight a common mistake. It focuses on critical thinking about experimental design rather than error-focused pedagogy.",EXPLICIT_ERROR_DETECTION,"The paragraph presents a flawed conclusion and asks the reader to explain why it is unreasonable, requiring identification of the error in reasoning."
"b. Stephanie’s question has a lead-in statement about the constitution, which may persuade survey-takers that states should be allowed to determine whether or not to use capital punishment. c. Stephanie probably used a convenience sample because it was easy to survey those in her government class. Those students have many things in common like age, location, and level of education, and so do not represent the U.S. population as a whole. Because they are in a government class, they may be more aware of state rights versus federal authority.",COMMON_ERROR_ALERT,"The paragraph discusses Stephanie's use of a convenience sample and explains why this is a flawed method, highlighting a common mistake in survey sampling. It serves as a warning about non-representative sampling, which aligns with the 'COMMON_ERROR_ALERT' category.",NA,"The paragraph discusses sampling bias and survey design, without asking the reader to find or correct an error, compare approaches, or warn about a common mistake."
"CE 9-116. a@tl), (+2), +4) aes) Lesson 8.3.2 Problems b. (x+8) is not a factor, (x+2) isa MN: 8.3.2 ee factor. Use the Factor Theorem and 9 68 ; determine whether —8 and —2 are -",COMMON_ERROR_ALERT,"The paragraph mentions that '(x+8) is not a factor' while '(x+2) is a factor,' which serves as a warning about a common mistake in applying the Factor Theorem. This aligns with the 'COMMON_ERROR_ALERT' category as it highlights a frequent error students might make.",NA,"The paragraph presents a standard problem statement about using the Factor Theorem, with no mention of student errors, error detection, or warnings."
"Terrell noticed that if he adds the first terms, second terms, original series —> { é st y ‘ +...+ 3 third terms, etc. of the two 2+4+O0+F6+...+20 arithmetic series at right, he new series —> 34+6+9+12+...+3n",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",NA,"The paragraph merely describes Terrell's observation about adding terms of arithmetic series and does not ask the reader to find or correct an error, compare approaches, or warn about common mistakes."
"For his homework assignment, Andrew had to expand (a+b). He just realized that he did not have the coefficient for the term a*b°. He started writing out the",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",NA,"The paragraph describes a student noticing a missing coefficient but does not ask the reader to find, correct, compare, or warn about errors; thus it is standard content."
"Katelyn decides to model her sales with a normal distribution, but Duncan thinks that this is not a good idea. What advice would you give Katelyn about using a normal model? Katelyn needs to sell more than 15 cups per hour to make a profit. What percentile is 15 cups per hour? Explain the percentile to Katelyn in terms of profits. Duncan thinks Katelyn should expand her business. He estimates that if they hire another server and add more tables and equipment, they will need to sell 48 cups per hour to make a profit. What percentile does 48 cups sold represent? Use the percentile to explain to Duncan whether or not expansion is a good idea.",NA,"The paragraph presents differing opinions between Katelyn and Duncan but does not focus on identifying or correcting errors. It asks the reader to analyze percentiles and business decisions, which is standard problem-solving content without explicit error detection or correction.",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}"
"If in a random sample of 1000 members of our population, 250 have the zPhone, it still does not mean that exactly - of all people between the ages of 12 and 20 in the U.S. have the zPhone. The proportion of young people with the phone will naturally vary from sample to sample—some samples of young people will have more phones, some will have",NA,"The paragraph discusses sampling variability and the idea that sample proportions can differ from the true population proportion. It does not present a specific error to detect, compare conflicting approaches, or warn about common mistakes. It is standard explanatory content about statistical sampling.",COMMON_ERROR_ALERT,"The paragraph warns readers not to assume the sample proportion equals the population proportion, alerting to a common misunderstanding about sampling variability."
"Inthe casino game of roulette, some players think that when the ball lands on red several times in a row that it will be more likely to land on black on the next spin. You can calculate probabilities to demonstrate that this is not the case. In other words, the outcome of one spin of a roulette wheel does not have any effect on the outcome of the next one. Make an area model for two spins of the wheel. Remember that there are 18 red numbers, 18 black numbers, and two greens.",NA,The paragraph discusses a common misconception about roulette probabilities but does not explicitly warn against it or ask students to identify/fix an error. It serves as an example to introduce probability concepts rather than focusing on error detection or correction.,ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}"
"Unfortunately, the principal was not convinced. He said that because of natural sample-to-sample variability, the true proportion of dance supporters might not be more than 50%.",COMMON_ERROR_ALERT,"The paragraph highlights the principal's concern about sample variability, which serves as a warning about a common statistical error in interpreting survey results. This aligns with the 'COMMON_ERROR_ALERT' category as it addresses a frequent mistake in data interpretation.",NA,"The paragraph does not present a student error, compare approaches, ask to locate an error, or warn about a common mistake; it is just a narrative statement."
What do you notice about the process control chart that might concern you,ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The sentence is a reflective prompt about a chart, not asking to find or correct an error, compare approaches, or warn about common mistakes."
"Assign numbers 1 — 25 to represent selecting a believer and 26 — 100 to selecting a non-believer. Using randInt(1,100,5) generate sets of 5 numbers representing the selection of 5 people in a group. Divide the number of groups without a ghost believer by the total number of groups. CL 11-97 a. 1489/100 = 14.89, 14.89/60 = 24.82%",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",NA,"The paragraph gives procedural instructions for a simulation and calculations, with no mention of student errors, error detection, or comparison of student work."
"Lou els el 7 JiL8 3195) 204) 21)22.)123 ""| 24 Defects | 40 | 37 | 39 |39 | 43 | 40 | 42 | 42 | 38 a. Create an x-bar process control chart with a UCL of 45 and an LCL of 35. b. What do you notice about the process control chart that might concern you",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph presents data and asks the student to construct a control chart and observe any concerns, without referencing errors, mistakes, or comparing student work."
"c. x®—y® (Note: This is tricky. If you start it as the difference of two cubes, you will not be able to factor it completely. Think of it as the difference of two squares and then factor the factors as the sum and difference of two cubes.)",NA,"The paragraph provides a hint about a problem-solving strategy for factoring an expression, noting that a common approach (difference of cubes) won't work and suggesting an alternative method (difference of squares). It does not explicitly warn about a common error, present incorrect work to correct, or compare conflicting approaches. The note is a strategic guide rather than an error-focused pedagogy.",COMMON_ERROR_ALERT,"The paragraph warns the reader about a potential mistake in factoring (starting with the wrong approach) and advises how to avoid it, which matches a common error alert."
Your teacher will show you how to make a combination histogram and modified boxplot on your graphing calculator. (A modified boxplot displays the outliers separately from the boxplot.) You will need to choose an appropriate interval for each of the bins (“bars”) on your histogram. This interval is called the bin width. A very rough approximation of how wide the bin width should be is to find the square root of the number of values in the largest data set. Obtain the Lesson C.1.2A Resource Page from your teacher. Make a sketch of the combination histogram and boxplot for each emergency procedure. Compare and contrast the two procedures. Which one would you recommend?,NA,The paragraph instructs students to compare and contrast two procedures (histogram and modified boxplot) but does not involve named students with conflicting answers or error detection. It is standard instructional content without error-focused pedagogy.,COMPARE_AND_CONTRAST,"The paragraph asks students to compare and contrast two emergency procedures, matching the signal for the COMPARE_AND_CONTRAST category."
"sales prices of houses in Fancyville and Smallville — comparing the medians alone does not tell a useful story about the difference in prices. Statisticians like to report the center, shape, spread, and outliers of single-variable data.",NA,"The paragraph discusses the importance of considering multiple aspects of data analysis (center, shape, spread, outliers) rather than just medians. It does not reference any specific student errors, compare conflicting approaches, or explicitly point out a common mistake. It serves as general statistical instruction.",COMMON_ERROR_ALERT,"The paragraph warns that focusing only on medians is a mistake and advises reporting additional statistics, matching a common error alert."
"Problem continued from previous page. A mean absolute deviation should not be calculated if the data has outliers or is not symmetric. When the data is not symmetric or has outliers, the interquartile range (IQR) can be used to measure spread. Find and compare the IQR of the two sugars. If you need a reminder, reread the Math Notes box at the end of Lesson C.1.1.",NA,"The paragraph provides a rule about using IQR instead of MAD for non-symmetric data or outliers and assigns a problem to apply this concept. There is no mention of student errors, conflicting approaches, explicit error detection, or common mistake warnings. It is standard instructional content.",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}"
The standard deviation was probably not an appropriate way to report the spread of your team’s golfing data. What would have been better?,NA,"The paragraph is a reflective question asking students to evaluate the appropriateness of a statistical method, not directly addressing errors, common mistakes, or contrasting approaches. It does not present a specific error to detect or correct.",COMMON_ERROR_ALERT,"The paragraph warns that using standard deviation may be inappropriate for the data and asks what would be better, which fits a common error alert about a typical mistake."
"last couple weeks, their overall performance makes them more “on time” than Jet Set. Jet’s Set’s claims are misleading because they focused only on the outliers rather than on overall performance.",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph discusses performance comparisons and claims, without presenting a student solution, error identification, or correction task."
"In both cases, the simplification is only valid provided that the denominator is not equal to zero. See the examples below.",NA,"The paragraph states a mathematical condition (denominator not equal to zero) for simplification validity but does not explicitly warn about a common error, present conflicting student work, or ask the reader to detect an error. It serves as a general rule rather than error-focused pedagogy.",COMMON_ERROR_ALERT,"The paragraph warns readers that a simplification is only valid when the denominator is non‑zero, alerting them to a potential mistake."
Often the best way to solve a complicated equation is to use a method such as the Looking Inside or Undoing Methods. Checking your answer(s) is important because sometimes solutions are accurately found but will not work in the original equation.,COMMON_ERROR_ALERT,"The paragraph warns about a common mistake where solutions may appear correct but fail in the original equation, advising students to check their answers. This aligns with the 'COMMON_ERROR_ALERT' category as it highlights a frequent error students might make.",NA,"The paragraph gives general advice about solving equations and checking answers, without presenting a specific error, named student, or common mistake warning."
"Example 2: Tickets for a big concert first went on sale three weeks ago for $60. This week people are charging $100. Write an equation that represents the cost of the tickets w weeks from the time that they went on sale. Assume that they continue to increase in the same way. Solution: To find the multiplier, we can use what we are given. The initial value is $60, the time is 3 weeks, and the final value is $100. This gives 100 = 60k?. Solving for k gives k = 970 ~ 1.186.",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph presents a standard example problem and its solution without asking students to find or correct errors, compare approaches, or warn about common mistakes."
"extraneous solution Sometimes in the process of solving equations, multiplying or squaring expressions involving a variable will lead to a numerical result that does not make the original equation true. This false result is called an extraneous solution. For example, in the process of solving the equation /x+3=9-x both sides of the equation are squared to get x+3=x*-19x+81 which has solutions 6 and 13. 6 is a solution of the original equation, but 13 is extraneous, because J13+ 3 #9-13.",COMMON_ERROR_ALERT,"The paragraph explains that squaring both sides of an equation can introduce extraneous solutions, which is a common mistake students make. It warns readers about this pitfall and provides an example where one solution is extraneous. This aligns with the 'COMMON_ERROR_ALERT' category as it highlights a frequent error in problem-solving processes.",NA,"The paragraph explains the concept of extraneous solutions with an example but does not ask the reader to find or correct an error, compare approaches, or warn about a common mistake; it is standard instructional content."
extrapolate A prediction made outside the range of the observed data. Often extrapolations are not very reliable predictions.,COMMON_ERROR_ALERT,"The paragraph warns about the unreliability of extrapolations, which is a common mistake in predictions. This fits the COMMON_ERROR_ALERT category as it highlights a frequent error students might make.",NA,"The paragraph provides a definition and warning about extrapolation, without presenting student work, errors, or comparisons."
"inverse function A function that “undoes” what the original function does. It can also be seen as the x-y interchange of the function. The inverse of a function performs in reverse order the inverse operation for each operation of the function. The graph of an inverse function is a reflection of the original function across the line y=x. For example, y=x>+2 is equivalent to x = 3/y—2 , its inverse function is written y=9x-2. (p.216) inverse operations Subtraction is the inverse operation for addition and vice versa, division for multiplication, square root for squaring, and more generally taking the n"" root for raising to the n""™ power.",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",NA,"The paragraph only defines inverse functions and lists inverse operations; it does not present errors, compare student work, or warn about common mistakes."
"Point-Slope form y-—k=m/(x-—A/A) is called the point slope form of a linear equation or function because it shows the slope m and a point (h, k) that is on the graph of the line. For example, given a line that has slope 3 and contains the point with coordinates (3, -4) ‘its equation can be written y+4= : (x—3) ...",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",NA,"The paragraph only explains point‑slope form and gives an example; it does not mention errors, student work, or warnings."
quadratic equation Any equation where at least one term has degree 2 and no term has degree higher than 2. The standard equation Ax* + By* + Cxy+ Dx+,ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph provides a definition of a quadratic equation with no mention of errors, mistakes, or comparison of student work."
quotient The result of a division problem is a quotient with a remainder (which could be 0). When a polynomial p(x) is divided by a polynomial d(x) the a polynomial g(x) will be the quotient with a remainder r(x). The product of g(x) and d(x) plus the remainder r(x),EXPLICIT_ERROR_DETECTION,"The paragraph describes polynomial division but ends with an incomplete equation, omitting the original polynomial p(x) in the expression. This is an explicit error in the explanation, requiring the reader to identify the missing component (p(x) = d(x)g(x) + r(x)).",NA,"The paragraph simply defines quotient and remainder in polynomial division without mentioning errors, mistakes, or comparing student work."
stoplight icon The icon ( shown at right) will appear =] periodically throughout the text. Problems that display this icon contain errors of some type.,COMMON_ERROR_ALERT,"The paragraph warns the reader that problems marked with a specific icon contain errors, which aligns with the 'COMMON_ERROR_ALERT' category as it alerts students about potential mistakes in designated problems.",NA,"The paragraph merely explains that problems marked with an icon contain errors; it does not ask students to find, correct, or compare errors, nor does it warn about a common student mistake. It is informational, so it falls under NA."
