paragraph,gpt_oss_or_label,gpt_oss_or_reasoning,gpt_oss_or_confidence,gpt_oss_or_considered,tier
"Using numbers instead of variables makes it more obvious that canceling individual terms doesn’t work. You can see that 9+1
9−5 = 10/4 = 2.5 —but if we canceled out the 9’s first, we’d get 1/-5, or -0.2, instead.",COMMON_ERROR_ALERT,"The paragraph warns readers about a mistake (incorrectly canceling terms) that students often make, without asking them to locate or correct a specific error.",high,,A_positive
"Divide Rational Expressions Involving Polynomials
Just as with ordinary fractions, we first rewrite the division problem as a multiplication problem and then proceed with the multiplication as outlined in the previous example.
Note: Remember that a/b ÷ c/d = a/b · d/c. The first fraction remains the same and you take the reciprocal of the second fraction. Do not fall into the common trap of flipping the first fraction.",COMMON_ERROR_ALERT,"The paragraph warns students about a frequent mistake ('Do not fall into the common trap of flipping the first fraction'), which matches a COMMON_ERROR_ALERT.",high,,A_positive
"Example 6
Find the odds of the following events:
a) Tossing a coin and getting heads.
b) Rolling a die and getting a 3.
c) Tossing 4 coins and getting exactly 3 tails.
Solution
The key to finding odds is looking at how many outcomes result in the event and how many do not:
a) The sample space consists of 2 outcomes: 1 heads, 1 not-heads. The odds of getting heads are 1 : 1 (one to one, or even).
b) The sample space consists of 6 outcomes: 1 three and 5 not-three. The odds of getting three are 1 : 5 (one to five).
c) Look back at example 4, where we found the sample space for tossing 4 coins. The sample space consists of 4 outcomes where exactly 3 tails came up and 12 outcomes when they did not. So the odds of getting 3 tails are 3 : 12 = 1 : 4 (one to four).
Look carefully at part b above. This illustrates the need to avoid confusion between odds and probability. We know that the probability of getting a 3 is P(3) = 1/6 or “one in six,” but the odds describes the same event with the ratio 1 : 5 or “one to five”.",COMMON_ERROR_ALERT,"The paragraph includes a warning to avoid confusing odds with probability, which alerts readers to a common mistake.",high,,A_positive
"Find the Probability of Independent Events
If the result of one event has no bearing on the probability of the second event, we call them independent events. For example, if you flip a coin 3 times and get heads 3 times, what is the probability that the next flip will result in tails? Many people think that the previous run of heads somehow influences the flip to make tails more likely, but in reality the previous flips have no bearing on the outcome of the new flip –how could they? The coin doesn’t have a brain or a memory.
(The idea that tails is more likely after a run of heads is called the Gambler’s Fallacy, and it probably arises from people getting confused about something called prior probability. Now that you’ve learned a little about probability, you know that getting three heads and one tail is a little more likely than getting four heads on four coin flips, so before you flip the coin, you’d expect that it’s more likely you’ll get three heads than four heads. But after you’ve already flipped the coin three times, the chances of getting heads on the first three flips don’t matter any more, because you already got those three heads; the probability of getting those first three heads has gone from 12.5% to 100%! So the only probability that still matters is the probability of getting heads on the one flip remaining, which is just the same as it always is on a single coin flip: 50%.)
Because one flip of the coin has no effect on the outcome of any other flips, each flip of the coin counts as an independent event.
To find the probability of multiple independent events happening together, we multiply the individual probabilities:
For independent events : P(A and B) = P(A)·P(B)",COMMON_ERROR_ALERT,"The paragraph warns readers about a frequent misconception (the gambler's fallacy) and tells them not to be misled, matching the COMMON_ERROR_ALERT pattern.",high,,A_positive
"Many expressions have more than one variable in them. For example, the formula for the perimeter of a rectangle in the introduction has two variables: length (l) and width (w). In these cases, be careful to substitute the appropriate value in the appropriate place.",COMMON_ERROR_ALERT,"The paragraph warns readers to be careful about substituting values, which is a warning about a common mistake.",high,,B_boundary
"Evaluate Algebraic Expressions with Exponents

Many formulas and equations in mathematics contain exponents. Exponents are used as a short-hand notation for repeated multiplication. For example:

2 · 2 = 2^2
2 · 2 · 2 = 2^3

The exponent stands for how many times the number is used as a factor (multiplied). When we deal with integers, it is usually easiest to simplify the expression. We simplify:

2^2 = 4
2^3 = 8

However, we need exponents when we work with variables, because it is much easier to write x^8 than x · x · x · x · x · x · x · x.

To evaluate expressions with exponents, substitute the values you are given for each variable and simplify. It is especially important in this case to substitute using parentheses in order to make sure that the simplification is done correctly.

For a more detailed review of exponents and their properties, check out the video at http://www.mathvids.com/lesson/mathhelp/863-exponents—basics .",NA,"The paragraph only explains exponents and how to evaluate expressions; it does not present errors, compare student work, or warn about common mistakes.",high,,B_boundary
"Introduction

Look at and evaluate the following expression:

2 + 4 × 7 − 1 = ?

How many different ways can we interpret this problem, and how many different answers could someone possibly find for it?

The simplest way to evaluate the expression is simply to start at the left and work your way across:

2 + 4 × 7 − 1
= 6 × 7 − 1
= 42 − 1
= 41

This is the answer you would get if you entered the expression into an ordinary calculator. But if you entered the expression into a scientific calculator or a graphing calculator you would probably get 29 as the answer.

In mathematics, the order in which we perform the various operations (such as adding, multiplying, etc.) is important. In the expression above, the operation of multiplication takes precedence over addition, so we evaluate it first. Let’s re-write the expression, but put the multiplication in brackets to show that it is to be evaluated first.

2 + (4 × 7) − 1 = ?

First evaluate the brackets: 4 × 7 = 28. Our expression becomes:

2 + (28) − 1 = ?

When we have only addition and subtraction, we start at the left and work across:

2 + 28 − 1
= 30 − 1
= 29

Algebra students often use the word “PEMDAS” to help remember the order in which we evaluate the mathematical expressions: Parentheses, Exponents, Multiplication, Division, Addition and Subtraction.",NA,"The paragraph explains order of operations and shows a potential misinterpretation, but it does not explicitly warn about a frequent student mistake nor ask the reader to find or correct an error.",high,,B_boundary
"Order of Operations

1. Evaluate expressions within Parentheses (also all brackets [ ] and braces { }) first.
2. Evaluate all Exponents (terms such as 3^2 or x^3) next.
3. Multiplication and Division is next - work from left to right completing both multiplication and division in the order that they appear.
4. Finally, evaluate Addition and Subtraction - work from left to right completing both addition and subtraction in the order that they appear.",NA,"The paragraph simply lists procedural steps for order of operations with no mention of errors, mistakes, or student work to correct.",high,,B_boundary
"Evaluate Algebraic Expressions with Grouping Symbols

The first step in the order of operations is called parentheses, but we include all grouping symbols in this step—not just parentheses (), but also square brackets [ ] and curly braces { }.",NA,"The paragraph only explains a concept (grouping symbols) without presenting errors, student work, or warnings about common mistakes.",high,,B_boundary
"Example 1

Evaluate the following:
a) 4 − 7 − 11 + 2
b) 4 − (7 − 11) + 2
c) 4 − [7 − (11 + 2)]

Each of these expressions has the same numbers and the same mathematical operations, in the same order. The placement of the various grouping symbols means, however, that we must evaluate everything in a different order each time. Let’s look at how we evaluate each of these examples.

a) This expression doesn’t have parentheses, exponents, multiplication, or division. PEMDAS states that we treat addition and subtraction as they appear, starting at the left and working right (it’s NOT addition then subtraction).

4 − 7 − 11 + 2 = −3 − 11 + 2
= −14 + 2
= −12

b) This expression has parentheses, so we first evaluate 7 − 11 = −4. Remember that when we subtract a negative it is equivalent to adding a positive:

4 − (7 − 11) + 2 = 4 − (−4) + 2
= 8 + 2
= 10

c) An expression can contain any number of sets of parentheses. Sometimes expressions will have sets of parentheses inside other sets of parentheses. When faced with nested parentheses, start at the innermost parentheses and work outward.

Brackets may also be used to group expressions which already contain parentheses. This expression has both brackets and parentheses. We start with the innermost group: 11 + 2 = 13. Then we complete the operation in the brackets.

4 − [7 − (11 + 2)] = 4 − [7 − (13)]
= 4 − [−6]
= 10",NA,"The paragraph explains how to evaluate expressions with different grouping symbols and does not ask the reader to find or correct errors, compare student work, or warn about common mistakes.",high,,B_boundary
"Example 2

Evaluate the following:
a) 3 × 5 − 7 ÷ 2
b) 3 × (5 − 7) ÷ 2
c) (3 × 5) − (7 ÷ 2)

a) There are no grouping symbols. PEMDAS dictates that we multiply and divide first, working from left to right: 3 × 5 = 15 and 7 ÷ 2 = 3.5. (NOTE: It’s not multiplication then division.) Next we subtract:

3 × 5 − 7 ÷ 2 = 15 − 3.5
= 11.5

b) First, we evaluate the expression inside the parentheses: 5 − 7 = −2. Then work from left to right:

3 × (5 − 7) ÷ 2 = 3 × (−2) ÷ 2
= (−6) ÷ 2
= −3

c) First, we evaluate the expressions inside parentheses: 3 × 5 = 15 and 7 ÷ 2 = 3.5. Then work from left to right:

(3 × 5) − (7 ÷ 2) = 15 − 3.5
= 11.5

Note that adding parentheses didn’t change the expression in part c, but did make it easier to read. Parentheses can be used to change the order of operations in an expression, but they can also be used simply to make it easier to understand.",NA,"The paragraph simply explains how to evaluate expressions using order of operations; it does not present a student's error, compare approaches, ask to locate a mistake, or warn about common errors.",high,,B_boundary
"In parts (b) and (c) we left the parentheses around the negative numbers to clarify the problem. They did not affect the order of operations, but they did help avoid confusion when we were multiplying negative numbers.

Part (c) in the last example shows another interesting point. When we have an expression inside the parentheses, we use PEMDAS to determine the order in which we evaluate the contents.",NA,"The paragraph only explains the use of parentheses and PEMDAS without presenting an error, warning, or comparison; thus it is standard instructional content.",high,,B_boundary
"Evaluate Algebraic Expressions with Fraction Bars

Fraction bars count as grouping symbols for PEMDAS, so we evaluate them in the first step of solving an expression. All numerators and all denominators can be treated as if they have invisible parentheses around them. When real parentheses are also present, remember that the innermost grouping symbols come first. If, for example, parentheses appear on a numerator, they would take precedence over the fraction bar. If the parentheses appear outside of the fraction, then the fraction bar takes precedence.",NA,The paragraph only explains how to evaluate expressions with fraction bars and does not present any error-focused activity or warning.,high,,B_boundary
"Example 4

Use the order of operations to evaluate the following expressions:
a) (z + 3)/4 − 1 when z = 2
b) ((a + 2)/(b + 4) − 1) + b when a = 3 and b = 1
c) 2 × ((w + (x − 2z))/(y + 2)^2 − 1) when w = 11, x = 3, y = 1, and z = −2

a) We substitute the value for z into the expression.
(2 + 3)/4 − 1
Although this expression has no parentheses, the fraction bar is also a grouping symbol—it has the same effect as a set of parentheses. We can write in the “invisible parentheses” for clarity:
((2 + 3)/4) − 1
Using PEMDAS, we first evaluate the numerator:
5/4 − 1
We can convert 5/4 to a mixed number:
5/4 = 1 1/4
Then evaluate the expression:
5/4 − 1 = 1 1/4 − 1 = 1/4

b) We substitute the values for a and b into the expression:
((3 + 2)/(1 + 4) − 1) + 1
This expression has nested parentheses (remember the effect of the fraction bar). The innermost grouping symbol is provided by the fraction bar. We evaluate the numerator (3 + 2) and denominator (1 + 4) first.
((3 + 2)/(1 + 4) − 1) + 1 = (5/5 − 1) + 1  Next we evaluate the inside of the parentheses. First we divide.
= (1 − 1) + 1  Next we subtract.
= 0 + 1 = 1

c) We substitute the values for w, x, y, and z into the expression:
2 × ((11 + (3 − 2(−2)))/(1 + 2)^2 − 1)
This complicated expression has several layers of nested parentheses. One method for ensuring that we start with the innermost parentheses is to use more than one type of parentheses. Working from the outside, we can leave the outermost brackets as parentheses (). Next will be the “invisible brackets” from the fraction bar; we will write these as [ ]. The third level of nested parentheses will be the { }. We will leave negative numbers in round brackets.
2 × ([11 + {3 − 2(−2)}] / [{1 + 2}^2] − 1)  Start with the innermost grouping sign: {}.
{1 + 2} = 3; {3 − 2(−2)} = 3 + 4 = 7
= 2([11 + 7] / [3^2] − 1)  Next, evaluate the square brackets.
= 2(18/9 − 1)  Next, evaluate the round brackets. Start with division.
= 2(2 − 1)  Finally, do the addition and subtraction.
= 2(1) = 2",NA,"The paragraph provides worked examples of evaluating expressions; it does not ask the reader to find or correct errors, compare students, or warn about common mistakes.",high,,B_boundary
"Example 5

Evaluate [3(x^2 − 1)^2 − x^4 + 12] + 5x^3 − 1 when x = −3.

Method 1: Substitute for the variable first. Then evaluate the numerical expression with the calculator.
Substitute the value x = −3 into the expression.
[3((−3)^2 − 1)^2 − (−3)^4 + 12] + 5(−3)^3 − 1
Input this in the calculator just as it is and press [ENTER]. (Note: use ∧ to enter exponents)
The answer is -13.

Method 2: Input the original expression in the calculator first and then evaluate.
First, store the value x = −3 in the calculator. Type -3 [STO] x (The letter x can be entered using the x− [VAR] button or [ALPHA] + [STO]). Then type the original expression in the calculator and press [ENTER].
The answer is -13.

The second method is better because you can easily evaluate the same expression for any value you want. For example, let’s evaluate the same expression using the values x = 2 and x = 2/3.

For x = 2, store the value of x in the calculator: 2 [STO] x. Press [2nd] [ENTER] twice to get the previous expression you typed in on the screen without having to enter it again. Press [ENTER] to evaluate the expression. The answer is 62.

For x = 2/3, store the value of x in the calculator: 2/3 [STO] x. Press [2nd] [ENTER] twice to get the expression on the screen without having to enter it again. Press [ENTER] to evaluate. The answer is 13.21, or 1070/81 in fraction form.

Note: On graphing calculators there is a difference between the minus sign and the negative sign. When we stored the value negative three, we needed to use the negative sign which is to the left of the [ENTER] button on the calculator. On the other hand, to perform the subtraction operation in the expression we used the minus sign. The minus sign is right above the plus sign on the right.",COMMON_ERROR_ALERT,"The paragraph includes a cautionary note about confusing the minus sign with the negative sign on calculators, warning readers about a potential mistake.",medium,,B_boundary
"Example 7

Evaluate the expression (3x^2 − 4y^2 + x^4)/(x + y)^(1/2) for x = 2, y = −1.

Solution
Store the values of x and y: 2 [STO] x, -1 [STO] y. (The letters x and y can be entered using [ALPHA] + [KEY].) Input the expression in the calculator. When an expression includes a fraction, be sure to use parentheses: (numerator)/(denominator).
Press [ENTER] to obtain the answer 24.",NA,"The paragraph provides a standard example of evaluating an expression with a calculator and gives procedural tips, without presenting a student's error, comparison, or explicit warning about common mistakes.",high,,B_boundary
"Introduction

In mathematics, and especially in algebra, we look for patterns in the numbers we see. The tools of algebra help us describe these patterns with words and with equations (formulas or functions). An equation is a mathematical recipe that gives the value of one variable in terms of another.

For example, if a theme park charges $12 admission, then the number of people who enter the park every day and the amount of money taken in by the ticket office are related mathematically, and we can write a rule to find the amount of money taken in by the ticket office.

In words, we might say “The amount of money taken in is equal to twelve times the number of people who enter the park.”

We could also make a table. The following table relates the number of people who visit the park and the total money taken in by the ticket office.
Number of visitors: 1, 2, 3, 4, 5, 6, 7
Money taken in ($): 12, 24, 36, 48, 60, 72, 84

Clearly, we would need a big table to cope with a busy day in the middle of a school vacation!

A third way we might relate the two quantities (visitors and money) is with a graph. If we plot the money taken in on the vertical axis and the number of visitors on the horizontal axis, then we would have a graph that looks like the one shown below. Note that this graph shows a smooth line that includes non-whole number values of x (e.g. x = 2.5). In real life this would not make sense, because fractions of people can’t visit a park. This is an issue of domain and range, something we will talk about later.",NA,"The paragraph is a standard introductory explanation of algebraic modeling with no mention of errors, mistakes, or student work to correct or compare.",high,,B_boundary
"Example 2

The following table shows the relationship between two quantities. First, write an equation that describes the relationship. Then, find out the value of b when a is 750.
a: 0, 10, 20, 30, 40, 50
b: 20, 40, 60, 80, 100, 120

Step 1: Extract the important information.
We can see from the table that every time a increases by 10, b increases by 20. However, b is not simply twice the value of a. We can see that when a = 0, b = 20, and this gives a clue as to what rule the pattern follows. The rule linking a and b is:
“To find b, double the value of a and add 20.”

Step 2: Translate into a mathematical equation:
“To find b” → b =
“double the value of a” → 2a
“add 20” → + 20
Our equation is b = 2a + 20.

Step 3: Solve the equation.
The original problem asks for the value of b when a is 750. When a is 750, b = 2a + 20 becomes b = 2(750) + 20. Following the order of operations, we get:
b = 2(750) + 20
= 1500 + 20
= 1520

Step 4: Check the result.
In some cases you can check the result by plugging it back into the original equation. Other times you must simply double-check your math. In either case, checking your answer is always a good idea. In this case, we can plug our answer for b into the equation, along with the value for a, and see what comes out. 1520 = 2(750) + 20 is TRUE because both sides of the equation are equal. A true statement means that the answer checks out.",NA,"The paragraph presents a standard example problem with steps to write, solve, and check an equation; it does not involve student errors, comparisons, or warnings about common mistakes.",high,,B_boundary
"Example 3

The following table shows the values of two related quantities. Write an equation that describes the relationship mathematically.
x−value: -2, 0, 2, 4, 6
y−value: 10, 0, -10, -20, -30

Step 1: Extract the important information.
We can see from the table that y is five times bigger than x. The value for y is negative when x is positive, and it is positive when x is negative. Here is the rule that links x and y:
“y is the negative of five times the value of x”

Step 2: Translate this statement into a mathematical equation.
“y is” → y =
“negative 5 times the value of x” → −5x
Our equation is y = −5x.

Step 3: There is nothing in this problem to solve for. We can move to Step 4.

Step 4: Check the result.
In this case, the way we would check our answer is to use the equation to generate our own xy pairs. If they match the values in the table, then we know our equation is correct. We will plug in -2, 0, 2, 4, and 6 for x and solve for y:
-2 → −5(−2) = 10
0 → −5(0) = 0
2 → −5(2) = −10
4 → −5(4) = −20
6 → −5(6) = −30
The y−values in this table match the ones in the earlier table. The answer checks out.",NA,"The paragraph presents a worked example without showing a student's mistake, warning, or comparison; it simply guides the reader through solving a problem.",high,,B_boundary
"Example 1

Define the variables and translate the following expressions into equations.
a) A number plus 12 is 20.
b) 9 less than twice a number is 33.
c) $20 was one quarter of the money spent on the pizza.

Solution
a) Define
Let n = the number we are seeking.
Translate
A number plus 12 is 20.
n + 12 = 20

b) Define
Let n = the number we are seeking.
Translate
9 less than twice a number is 33.
This means that twice the number, minus 9, is 33.
2n − 9 = 33

c) Define
Let m = the money spent on the pizza.
Translate
$20 was one quarter of the money spent on the pizza.
20 = 1/4 m

Often word problems need to be reworded before you can write an equation.",NA,"The paragraph provides examples of translating word problems into equations without presenting errors, mistakes, or comparisons.",high,,B_boundary
"Check Solutions to Equations

You will often need to check solutions to equations in order to check your work. In a math class, checking that you arrived at the correct solution is very good practice. We check the solution to an equation by replacing the variable in an equation with the value of the solution. A solution should result in a true statement when plugged into the equation.",NA,"The paragraph only explains how to check solutions and does not present any error-focused activity, named student work, or warning about common mistakes.",high,,B_boundary
"Example 4

Check that the given number is a solution to the corresponding equation.
a) y = −1; 3y + 5 = −2y
b) z = 3; z^2 + 2z = 8
c) x = −1/2; 3x + 1 = x

Solution
Replace the variable in each equation with the given value.
a)
3(−1) + 5 = −2(−1)
−3 + 5 = 2
2 = 2
This is a true statement. This means that y = −1 is a solution to 3y + 5 = −2y.

b)
3^2 + 2(3) = 8
9 + 6 = 8
15 = 8
This is not a true statement. This means that z = 3 is not a solution to z^2 + 2z = 8 .

c)
3(−1/2) + 1 = −1/2
−3/2 + 1 = −1/2
−1/2 = −1/2
This is a true statement. This means that x = −1/2 is a solution to 3x + 1 = x.",NA,The paragraph asks students to check if given numbers satisfy equations and provides the solution; it does not present an error to find or compare student work.,high,,B_boundary
"3. Check whether the given number is a solution to the corresponding equation.
a. a = −3; 4a + 3 = −9
b. x = 4/3; 3/4 x + 1/2 = 3/2
c. y = 2; 2.5y − 10.0 = −5.0
d. z = −5; 2(5 − 2z) = 20 − 2(z − 1)",NA,"The paragraph asks students to check if a given number satisfies an equation, which is a standard task without error-focused prompts.",high,,B_boundary
"4. Check whether the given number is a solution to the corresponding inequality.
a. x = 12; 2(x + 6) ≤ 8x
b. z = −9; 1.4z + 5.2 > 0.4z
c. y = 40; −5/2 y + 1/2 < −18
d. t = 0.4; 80 ≥ 10(3t + 2)",NA,"The paragraph asks students to check if given numbers satisfy inequalities, without presenting errors, student work, or warnings about common mistakes.",high,,B_boundary
6. On your new job you can be paid in one of two ways. You can either be paid $1000 per month plus 6% commission of total sales or be paid $1200 per month plus 5% commission on sales over $2000. For what amount of sales is the first option better than the second option? Assume there are always sales over $2000.,NA,"The paragraph presents a standard word problem asking to compare two payment options, without showing student errors, named characters, or warnings about common mistakes.",high,,B_boundary
"7. A phone company offers a choice of three text-messaging plans. Plan A gives you unlimited text messages for $10 a month; Plan B gives you 60 text messages for $5 a month and then charges you $0.05 for each additional message; and Plan C has no monthly fee but charges you $0.10 per message.
a. If m is the number of messages you send per month, write an expression for the monthly cost of each of the three plans.
b. For what values of m is Plan A cheaper than Plan B?
c. For what values of m is Plan A cheaper than Plan C?
d. For what values of m is Plan B cheaper than Plan C?
e. For what values of m is Plan A the cheapest of all? (Hint: for what values is A both cheaper than B and cheaper than C?)
f. For what values of m is Plan B the cheapest of all? (Careful—for what values is B cheaper than A?)
g. For what values of m is Plan C the cheapest of all?
h. If you send 30 messages per month, which plan is cheapest?
i. What is the cost of each of the three plans if you send 30 messages per month?",NA,"The paragraph presents a series of standard problem questions about comparing costs of plans, without mentioning errors, mistakes, or named students.",high,,B_boundary
"The table gives us five sets of coordinate points: (12, 41), (13, 44), (14, 47), (15, 50), and (16, 53). To graph the function, we plot all the coordinate points. Since the x−values represent the number of balloons for 12 balloons or more, the domain of this function is all integers greater than or equal to 12. In this problem, the points are not connected by a line or curve because it doesn’t make sense to have non-integer values of balloons.",NA,"The paragraph only explains how to graph given points and defines the domain; it does not present a student error, compare approaches, or warn about common mistakes.",high,,B_boundary
"In order to draw a graph of a function given the function rule, we must first make a table of values to give us a set of points to plot. Choosing good values for the table is a skill you’ll develop throughout this course. When you pick values, here are some of the things you should keep in mind: • Pick only values from the domain of the function. • If the domain is the set of real numbers or a subset of the real numbers, the graph will be a continuous curve. • If the domain is the set of integers of a subset of the integers, the graph will be a set of points not connected by a curve. • Picking integer values is best because it makes calculations easier, but sometimes we need to pick other values to capture all the details of the function. • Often we start with one set of values. Then after drawing the graph, we realize that we need to pick different values and redraw the graph.",NA,"The paragraph provides general instructional guidance on selecting table values for graphing functions, with no mention of errors, mistakes, or student work to correct.",high,,B_boundary
"It is wise to work with a lot of values when you begin graphing. As you learn about different types of functions, you will start to only need a few points in the table of values to create an accurate graph.",NA,"The paragraph gives general advice about using many values when graphing and does not mention errors, mistakes, or ask students to find or correct errors.",high,,B_boundary
"Example 6: Graph the following function: f(x) = √x. Solution: Make a table of values. We know x can’t be negative because we can’t take the square root of a negative number. The domain is all positive real numbers, so we pick a variety of positive integer values for x. Use the function rule to find the value of y for each value of x. TABLE 1.9: x = 0, y = √0 = 0; x = 1, y = √1 = 1; x = 2, y = √2 ≈ 1.41; x = 3, y = √3 ≈ 1.73; x = 4, y = √4 = 2; x = 5, y = √5 ≈ 2.24; x = 6, y = √6 ≈ 2.45; x = 7, y = √7 ≈ 2.65; x = 8, y = √8 ≈ 2.83; x = 9, y = √9 = 3. Note that the range is all positive real numbers.",NA,"The paragraph simply provides an example of graphing a function with a table of values and does not involve error detection, correction, comparison, or warnings about common mistakes.",high,,B_boundary
