paragraph,qwen_label,qwen_reasoning,gpt_oss_label,gpt_oss_reasoning
"Power Up Building Power facts Power Up E mental math a. Number Sense: 7 × 52 b. Number Sense: 6 × 33 c. Number Sense: 63 + 19 d. Number Sense: 256 + 50 e. Money: $10.00 - $7.25 f. Fractional Parts: of 86 g. Geometry: The perimeter of a square is 16 ft. What is the length of the sides of the square? h. Calculation: 8 × 8,1,7, x2, 2, ÷ 2",NA,"The paragraph presents a list of mental math problems (e.g., multiplication, addition, subtraction, geometry) without any reference to errors, student work, or common mistakes. It is a standard exercise set for practice, not focused on error detection or correction.",MISSING,
Thinking Skill Verify Why is the diameter of a circle twice the length of the radius?,NA,"The paragraph asks a conceptual question about the relationship between diameter and radius, which is a standard thinking skill prompt. It does not involve error detection, correction, comparison of methods, or warnings about common mistakes.",MISSING,
"There are several ways to measure a circle. We can measure the distance around the circle, the distance across the circle, and the distance from the center of the circle to the circle itself. The pictures below identify these measures.",NA,"The paragraph explains different measurements of a circle (circumference, diameter, radius) and refers to accompanying pictures. It does not present any errors, conflicting approaches, or warnings about common mistakes. It is standard explanatory content.",MISSING,
"The circumference is the distance around the circle. This distance is the same as the perimeter of a circle. The diameter is the distance across a circle through its center. The radius is the distance from the center to the circle. The plural of radius is radii. For any circle, the diameter is twice the length of the radius.",NA,"The paragraph provides definitions and relationships between circumference, diameter, and radius without mentioning errors, common mistakes, or contrasting student approaches. It is standard textbook content.",MISSING,
Activity Using a Compass Materials needed: compass and pencil plain paper A compass is a tool for drawing a circle. Here we show two types:,NA,"The paragraph describes an activity using a compass and pencil, explaining the tool's purpose and showing different types. It does not present any errors, compare conflicting approaches, or warn about common mistakes. It is standard instructional content.",MISSING,
"To use a compass, we select a radius and a center point for a circle. Then we rotate the compass about the center point to draw the circle. In this activity you will use a compass and paper to draw circles with given radii.",NA,"The paragraph provides instructions on using a compass to draw circles and does not mention any errors, conflicting approaches, or common mistakes. It is standard procedural content.",MISSING,
Thinking Skill Discuss Why do we use the length of a radius instead of a diameter to draw a circle?,NA,"The paragraph is a discussion prompt asking students to explain a concept (why radius is used instead of diameter) and does not involve identifying or correcting errors, comparing conflicting answers, or warning about common mistakes.",MISSING,
Represent Draw a circle with each given radius. How can you check that each circle is drawn to the correct size? a. 2 in. b. 3 cm c. 1 in.,NA,"The paragraph asks students to draw circles and check their sizes but does not mention any errors, incorrect work, or common mistakes. It focuses on the process of verification rather than error detection or correction.",MISSING,
Concentric circles are circles with the same center. A bull's-eye target is an example of concentric circles.,NA,"The paragraph provides a definition and example of concentric circles without any reference to errors, contrasting approaches, or error detection tasks. It is standard textbook content.",MISSING,
"d. Represent Draw three concentric circles with radii of 4 cm, 5 cm, and 6 cm.",NA,"The paragraph is a standard instruction to draw concentric circles with specified radii. It does not mention errors, compare different approaches, or warn about common mistakes. It is a typical textbook activity without error-focused pedagogy elements.",MISSING,
Example 1 What is the name for the perimeter of a circle? Solution The distance around a circle is its circumference.,NA,"The paragraph provides a direct definition of the perimeter of a circle as 'circumference' without mentioning errors, contrasting approaches, or warning about common mistakes. It is a standard example explaining a concept.",MISSING,
"Example 2 If the radius of a circle is 4 cm, what is its diameter? Solution The diameter of a circle is twice its radius-in this case, 8 cm.",NA,"The paragraph provides a straightforward example and solution without mentioning errors, common mistakes, or conflicting approaches. It serves as a standard instructional example.",MISSING,
Check It Out! The Practice Set lets you check to see if you understand today's new concept.,NA,"The paragraph is a general instruction encouraging students to check their understanding through a practice set. It does not mention any specific errors, corrections, comparisons, or common mistakes.",MISSING,
"Practice Set In problems a-c, name the described measure of a circle. a. The distance across a circle b. The distance around a circle",NA,"The paragraph is a standard problem set asking students to identify measures of a circle. It does not present errors, compare conflicting approaches, or warn about common mistakes.",MISSING,
"Exercise Your Mind! When you work the Written Practice exercises, you will review both today's new concept and also math you learned in earlier lessons. Each exercise will be on a different concept you never know what you're going to get! It's like a mystery game unpredictable and challenging.",NA,"The paragraph describes the structure and purpose of the 'Exercise Your Mind!' section, emphasizing review of concepts and unpredictability. It does not mention errors, corrections, comparisons, or warnings about common mistakes. It serves as standard motivational text for problem sets.",MISSING,
"As you review concepts from earlier in the book, you'll be asked to use higher- order thinking skills to show what you know and why the math works.",NA,"The paragraph discusses using higher-order thinking skills for review but does not mention any specific errors, incorrect work, or comparisons between methods. It lacks the elements of error-focused pedagogy.",MISSING,
"The mixed set of Written Practice is just like the mixed format of your state test. You'll be practicing for the ""big"" test every day!",NA,"The paragraph discusses the structure of practice problems aligning with state test formats but does not mention errors, corrections, comparisons, or warnings about common mistakes. It serves as standard instructional context.",MISSING,
Model Use your fraction manipulatives to help answer problems 11-18. 11. 1 ++ (Inv. 2) 66 65 13.66 (Inv. 2) 12. 7 3 (Inv. 2) 88 14.+ 2+5 (Inv. 2),NA,"The paragraph provides instructions to use fraction manipulatives for solving problems 11-18 but does not include any error-focused pedagogy elements like incorrect work, comparisons, explicit error detection tasks, or warnings about common mistakes. The content is standard instructional guidance.",MISSING,
15. a. How many as are in 1? (Inv. 2) b. How many as are in ½?,NA,"The paragraph presents standard math problems asking about the quantity of 'as' in numerical values. There is no mention of errors, incorrect work, contrasting approaches, or common mistakes. It is a typical problem set without error-focused pedagogy elements.",MISSING,
17. What fraction is half of 1? (Inv. 2),NA,"The paragraph is a standard math problem asking for a fraction calculation. There is no mention of errors, student work to correct, or comparisons between methods.",MISSING,
18. What fraction of a circle is 50% of a circle? (Inv. 2),NA,"The paragraph is a standard math question asking for the fraction equivalent of 50% of a circle. It does not involve identifying errors, comparing conflicting approaches, or warning about common mistakes.",MISSING,
"Become an Investigator! Dive into math concepts and explore the depths of math connections in the Investigations. Continue to develop your mathematical thinking through applications, activities, and extensions.",NA,"The paragraph is an introductory statement encouraging students to engage with mathematical investigations and develop their thinking. It does not present any specific errors, compare different approaches, or alert about common mistakes. It serves as a general motivational prompt rather than focusing on error detection or correction.",MISSING,
In this investigation you will make a set of fraction manipulatives to help you answer questions in this investigation and in future problem sets.,NA,"The paragraph describes an activity to create fraction manipulatives for use in problem-solving, without mentioning errors, corrections, comparisons, or common mistakes. It is standard instructional content.",MISSING,
"In everyday language the following figure is often referred to as a line. However, using mathematical terminology, we say that the figure represents a segment, or line segment. A segment is part of a line and has two endpoints. A mathematical line has no endpoints. To represent a line, we use arrowheads to indicate a line's unending quality. A ray has one endpoint. We represent a ray with one arrowhead. A ray is roughly represented by a beam of sunlight. The beam begins at the sun (which represents the endpoint of the ray) and continues across billions of light years of space. Thinking Skill Conclude If two opposite-facing rays are joined at their endpoints, what is the result? What do those endpoints become?",COMMON_ERROR_ALERT,"The paragraph addresses a common misconception where everyday language refers to a segment as a 'line,' which is corrected with mathematical terminology. This fits the 'COMMON_ERROR_ALERT' category as it warns about a frequent mistake in terminology.",NA,"The paragraph explains geometric terms and asks a conceptual question about joining rays; it does not involve error detection, correction, or comparison of student work."
"Prime numbers can be multiplied to make whole numbers that are not prime. For example, 223 equals 12 and 35 equals 15. (Neither 12 nor 15 are prime.) Show which prime numbers we multiply to make these products: k. 16 l. 18",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",NA,"The paragraph presents a standard instructional task asking students to factor numbers into primes, without mentioning errors, mistakes, or comparing student work."
"Which digit in 135,792,468,000 is in the ten-millions place?",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The sentence asks for a factual digit location without mentioning errors, corrections, or comparisons."
"A ray has one endpoint and continues in one direction without end. Rays make up the sides of the angles. The rays of an angle originate at a point called the vertex of the angle. Angles are named in a variety of ways. When there is no chance of confusion, an angle may be named with only one letter: the letter of its vertex. Here is angle B (abbreviated ∠B): An angle may also be named with three letters, using a point from one side, the vertex, and a point from the other side. Here is angle ABC (∠ABC): This angle may also be named angle CBA (∠CBA). However, it may not be named ∠BAC, ∠BCA, ∠CAB, or ∠ACB. The vertex must be in the middle. Angles may also be named with a number or letter in the interior of the angle. In the figure below we see ∠1 and ∠2. What figure is created when we add the measures of ∠1 and ∠2?",COMMON_ERROR_ALERT,The paragraph warns against a common mistake in naming angles by specifying that the vertex must be in the middle of the angle's name. This aligns with the 'COMMON_ERROR_ALERT' category as it highlights an incorrect approach students might take.,NA,The paragraph provides definitions and a standard question about geometry without referencing student errors or comparisons.
"The area of a square is 100 square inches. a. How long is each side of the square? b. What is the perimeter of the square? The length and width of a square are equal. So we think, “What number multiplied by itself equals 100?” Since 10 × 10 = 100, we find that each side is 10 inches long. Since each of the four sides is 10 inches, the perimeter of the square is 40 inches. Justify Why can't we divide 100 by 4 to find the length of each side?",COMMON_ERROR_ALERT,"The paragraph includes a 'Justify Why can't we divide 100 by 4...' prompt, which highlights a common misconception about calculating square side lengths. This aligns with the COMMON_ERROR_ALERT category as it warns against a specific mistake students might make when solving area problems.",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}"
"10. Which digit is in the ten-millions place in 1,234,567,890?",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",NA,"The paragraph asks a factual place-value question with no mention of errors, mistakes, or student work to evaluate."
"28. Justify Instead of dividing 6 by 1/2, Feodor doubled both numbers and divided 12 by 1. Do you think both quotients are the same? Write a one- or two-sentence reason for your answer.",NA,"The paragraph presents a problem asking students to justify whether two division methods yield the same result. It does not highlight an error in Feodor's approach or ask students to detect/correct a mistake. The focus is on reasoning about mathematical equivalence, not error analysis.",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}"
"* 30. Verify When we mentally multiply 15 by 10, we can simply attach a zero to 15 to make the product 150. When we multiply 1.5 by 10, why can't we attach a zero to make the product 1.50?",COMMON_ERROR_ALERT,"The paragraph addresses a common misconception about decimal multiplication, specifically the incorrect assumption that attaching a zero works the same way for decimals as it does for whole numbers. It warns about a mistake students might make when scaling decimals by 10.",NA,"The paragraph asks a conceptual verification question about multiplying by 10, without presenting a student error, comparison, explicit error detection, or a warning about common mistakes."
"* 30. Explain Sam was given the following division problem: 2.5/0.5 Instead of multiplying the numerator and denominator by 10, he accidentally multiplied by 100, as shown below. 2.5/0.5 × 100/100 = 250/50 Then he divided 250 by 50 and found that the quotient was 5. Did Sam find the correct answer to 2.5 ÷ 0.5? Why or why not?",EXPLICIT_ERROR_DETECTION,"The paragraph presents Sam's incorrect method (multiplying by 100 instead of 10) but correct final answer. The task is to analyze whether the error in the process affected the result, which requires identifying the mistake and evaluating its impact. This aligns with EXPLICIT_ERROR_DETECTION as the error is highlighted for analysis.",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}"
"The prefix quadri- means four. A quadrilateral is a polygon with four sides. We learned in Lesson 60 that quadrilaterals are polygons with four sides. We can classify (sort) quadrilaterals by the characteristics of their sides and angles. The following table describes the various classifications of quadrilaterals: Notice that squares, rectangles, and rhombuses are all parallelograms. Also notice that a square is a special kind of rectangle, which is a special kind of parallelogram, which is a special kind of quadrilateral, which is a special kind of polygon. A square is also a special kind of rhombus. Is the following statement true or false? All parallelograms are rectangles. How can we rewrite the statement in example 1 so that it is true? We are asked to decide whether every parallelogram is a rectangle. Since a rectangle is a special kind of parallelogram, some parallelograms are rectangles. However, some parallelograms are not rectangles. Since not all parallelograms are rectangles, the statement is false. Draw a pair of parallel lines. Then draw another pair of parallel lines. These lines should intersect the first pair but not be perpendicular to the first pair. What is the name for the quadrilateral that is formed by the intersecting lines? We draw the first pair of parallel lines. We draw the second pair of lines so that the lines are not perpendicular to the first pair. At right we have colored the segments that form the quadrilateral. The quadrilateral formed is a parallelogram.",COMMON_ERROR_ALERT,"The paragraph addresses a common misconception by explaining that not all parallelograms are rectangles, which is a frequent mistake students might make. It directly refutes the false statement and clarifies the correct understanding.",NA,"The paragraph presents definitions and a true/false question without referencing a student's error, comparison, or warning about common mistakes, so it is standard content."
"2・2・2・3・3
27. Reduce:
(54)
2・2・3・5・5",INCORRECT_TO_CORRECT,"The paragraph presents an incorrect prime factorization of 54 as 2・2・3・5・5, which equals 300, not 54. The instruction 'Reduce: (54)' implies the reader should identify and correct the error in the provided factorization.",NA,"The text simply presents a reduction problem using prime factorizations, with no mention of errors, student work, or warnings about common mistakes."
"Estimate A meter is about 110 yards. About how many meters long is
25.
(7)
an automobile?",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph presents a standard estimation problem with no mention of errors, corrections, or comparisons between students."
"First, we write the numbers in fraction form. 52 4-3 X 23 Recall that the terms of a fraction are the numerator and the denominator. Second, we multiply the terms of the fractions. 5 4 X 2^3 20 6 Third, we simplify the product. 20=3=3 1 3",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}",NA,"The paragraph only gives procedural steps for a calculation and does not involve identifying, correcting, or warning about errors."
"1. What is the difference between the sum of 1
(12, 55)
and ?
4
and and the product of
2
4",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph is a standard problem prompt without any mention of errors, student work, or comparisons, so it falls under NA."
"Now we have a multiplication problem. We cancel before we multiply. 18-83 X 1 13 12-81 Note: We may cancel the terms of fractions only when multiplying. A division problem must be rewritten as a multiplication problem before we may cancel the terms of the fractions. We do not cancel the terms of fractions in addition or subtraction problems. Reduce before multiplying:
3 4
a.
45
3 4
с.
89
9 10
Write in fraction form. Then reduce before multiplying.
d. 2×4
e. 1×2
f. 3×2

Rewrite each division problem as a multiplication problem. Then reduce before multiplying.
2.2
8
2
9.5
÷
h.
3
9
3
9
1
i.
10
÷15",COMMON_ERROR_ALERT,"The paragraph includes a note warning about a common mistake: canceling terms in fractions only during multiplication, not in addition or subtraction. This aligns with the 'COMMON_ERROR_ALERT' category as it explicitly warns against a frequent student error. The subsequent problem sets are standard exercises, but the note itself triggers the classification.",NA,"The paragraph provides procedural instructions on canceling fractions before multiplication and includes practice problems, without presenting a student's error or asking to detect/correct mistakes."
"3. Verify Instead of dividing 12 by 22, Shannon doubled both numbers
(43)
and then divided. Write the division problem Shannon formed, as well
as its quotient.",NA,"The paragraph asks students to verify Shannon's method of doubling both numbers in a division problem. It does not explicitly state that Shannon made an error, nor does it ask students to identify or correct a mistake. The focus is on exploring an alternative approach rather than error detection.",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}"
"9. Verify Instead of dividing 200 by 18, Sam found half of each number and then divided. Show Sam's division problem and write the quotient as a mixed number.",NA,"The paragraph describes Sam's method of solving a division problem by halving numbers but does not indicate that his approach is incorrect or require identifying an error. The task is to show his problem and compute the quotient, which is standard problem-solving without error-focused elements.",ERROR,"400: {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': 'max completion tokens reached before generating a valid document'}}"
"We may use exponents with fractions and with decimals. With fractions, parentheses help clarify that an exponent applies to the whole fraction, not just its numerator. (means 111 222 (0.1)² means 0.1 × 0.1",NA,"The paragraph explains correct usage of exponents with fractions and decimals, emphasizing the role of parentheses. It does not highlight a common error, present incorrect student work, or ask the reader to detect an error. It serves as standard instructional content.",COMMON_ERROR_ALERT,"The paragraph warns readers about a potential mistake with exponent placement on fractions, advising use of parentheses to avoid the error."
"3. If of the 200 runners finished the race, how many runners did not finish the race?",ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The sentence is a straightforward problem statement with no mention of errors, mistakes, or comparison of student work."
* 30. Generalize This function table shows the relationship between the radius (r) and diameter (d) of a circle. The radius is the input and the diameter is the output. Describe the rule and find the missing number. r d 1.2 2.4 0.7 1.4 5 15 30,ERROR,"400: {'error': {'message': ""Failed to validate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': ''}}",NA,"The paragraph asks students to describe a rule and find a missing number from a function table, with no mention of errors, mistakes, or comparing student work."
